policy_id,policy_name,policy_tenure,policy_type,risk_category,policy_description,what_covers,what_does_not_cover,base_premium,coverage_amount
1011,Health Secure Plus,1 year,health,low,"A health insurance plan built for low-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Plus variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",13050,1600000
1012,Health Secure Premium,1 year,health,low,"A health insurance plan built for low-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Premium variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",18900,2400000
1013,Life Shield Basic,1 year,life,low,"A life insurance plan designed for low-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Basic variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",9000,1000000
1014,Life Shield Plus,1 year,life,low,"A life insurance plan designed for low-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Plus variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",13050,1600000
1015,Life Shield Premium,1 year,life,low,"A life insurance plan designed for low-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Premium variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",18900,2400000
1016,Motor Guard Basic,1 year,motor,low,"A motor insurance plan made for low-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Basic variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",9000,1000000
1017,Motor Guard Plus,1 year,motor,low,"A motor insurance plan made for low-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Plus variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",13050,1600000
1018,Motor Guard Premium,1 year,motor,low,"A motor insurance plan made for low-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Premium variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",18900,2400000
1019,Health Secure Basic,1 year,health,lower_middle,"A health insurance plan built for moderate-low risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Basic variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",16000,2000000
1020,Health Secure Plus,1 year,health,lower_middle,"A health insurance plan built for moderate-low risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Plus variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",23200,3200000
1021,Health Secure Premium,1 year,health,lower_middle,"A health insurance plan built for moderate-low risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Premium variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",33600,4800000
1022,Life Shield Basic,1 year,life,lower_middle,"A life insurance plan designed for moderate-low risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Basic variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",16000,2000000
1023,Life Shield Plus,1 year,life,lower_middle,"A life insurance plan designed for moderate-low risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Plus variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",23200,3200000
1024,Life Shield Premium,1 year,life,lower_middle,"A life insurance plan designed for moderate-low risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Premium variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",33600,4800000
1025,Motor Guard Basic,1 year,motor,lower_middle,"A motor insurance plan made for moderate-low risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Basic variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",16000,2000000
1026,Motor Guard Plus,1 year,motor,lower_middle,"A motor insurance plan made for moderate-low risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Plus variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",23200,3200000
1027,Motor Guard Premium,1 year,motor,lower_middle,"A motor insurance plan made for moderate-low risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Premium variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",33600,4800000
1028,Health Secure Basic,1 year,health,middle,"A health insurance plan built for standard middle-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Basic variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",30000,4000000
1029,Health Secure Plus,1 year,health,middle,"A health insurance plan built for standard middle-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Plus variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",43500,6400000
1030,Health Secure Premium,1 year,health,middle,"A health insurance plan built for standard middle-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Premium variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",63000,9600000
1031,Life Shield Basic,1 year,life,middle,"A life insurance plan designed for standard middle-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Basic variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",30000,4000000
1032,Life Shield Plus,1 year,life,middle,"A life insurance plan designed for standard middle-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Plus variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",43500,6400000
1033,Life Shield Premium,1 year,life,middle,"A life insurance plan designed for standard middle-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Premium variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",63000,9600000
1034,Motor Guard Basic,1 year,motor,middle,"A motor insurance plan made for standard middle-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Basic variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",30000,4000000
1035,Motor Guard Plus,1 year,motor,middle,"A motor insurance plan made for standard middle-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Plus variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",43500,6400000
1036,Motor Guard Premium,1 year,motor,middle,"A motor insurance plan made for standard middle-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Premium variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",63000,9600000
1037,Health Secure Basic,1 year,health,upper_middle,"A health insurance plan built for moderate-high risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Basic variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",55000,7500000
1038,Health Secure Plus,1 year,health,upper_middle,"A health insurance plan built for moderate-high risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Plus variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",79750,12000000
1039,Health Secure Premium,1 year,health,upper_middle,"A health insurance plan built for moderate-high risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Premium variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",115500,18000000
1040,Life Shield Basic,1 year,life,upper_middle,"A life insurance plan designed for moderate-high risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Basic variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",55000,7500000
1041,Life Shield Plus,1 year,life,upper_middle,"A life insurance plan designed for moderate-high risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Plus variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",79750,12000000
1042,Life Shield Premium,1 year,life,upper_middle,"A life insurance plan designed for moderate-high risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Premium variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",115500,18000000
1043,Motor Guard Basic,1 year,motor,upper_middle,"A motor insurance plan made for moderate-high risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Basic variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",55000,7500000
1044,Motor Guard Plus,1 year,motor,upper_middle,"A motor insurance plan made for moderate-high risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Plus variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",79750,12000000
1045,Motor Guard Premium,1 year,motor,upper_middle,"A motor insurance plan made for moderate-high risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Premium variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",115500,18000000
